date,policy_name,mode,lambda_value,is_rebalance,turnover,transaction_cost,cash_weight,at_cash_cap,avg_equity_exposure,expected_class,normalized_entropy,p_bearish,solver_success,fallback_used,message,objective_value,equality_residual,max_bound_violation
2025-05-29,oracle_shuffled_kappa_0_0_seed_0,dynamic,37.33404333424533,True,0.030193395635373044,3.0193395635373045e-05,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0022981731188162434,0.0,0.0
2025-06-30,oracle_shuffled_kappa_0_0_seed_0,dynamic,37.33404333424533,True,0.03236670662421916,3.236670662421916e-05,0.5991211555107471,0.0,0.40087884448925293,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0019824586664508466,0.0,0.0
2025-07-31,oracle_shuffled_kappa_0_0_seed_0,dynamic,37.33404333424533,True,0.028472486520764437,2.847248652076444e-05,0.598307429353521,0.0,0.4016925706464791,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0016254209445390126,0.0,0.0
2025-08-29,oracle_shuffled_kappa_0_0_seed_0,dynamic,37.33404333424533,True,0.023330953018854822,2.3330953018854823e-05,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0015749656010510735,0.0,0.0
2025-09-30,oracle_shuffled_kappa_0_0_seed_0,dynamic,37.33404333424533,True,0.027838208433453387,2.783820843345339e-05,0.5957134063842457,0.0,0.40428659361575425,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.00158741971840038,0.0,0.0
2025-10-31,oracle_shuffled_kappa_0_0_seed_0,dynamic,37.33404333424533,True,0.0062721947905566705,6.272194790556671e-06,0.5701087225563358,0.0,0.4298912774436643,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-8.112389671121266e-05,0.0,0.0
2025-11-28,oracle_shuffled_kappa_0_0_seed_0,dynamic,37.33404333424533,True,0.009340684979261521,9.34068497926152e-06,0.5839632112990412,0.0,0.4160367887009589,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0003742078966231513,0.0,0.0
2025-12-31,oracle_shuffled_kappa_0_0_seed_0,dynamic,37.33404333424533,True,0.011025745391933212,1.1025745391933212e-05,0.5775619725668496,0.0,0.42243802743315045,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0005999981068331175,0.0,0.0
2026-01-30,oracle_shuffled_kappa_0_0_seed_0,dynamic,37.33404333424533,True,0.011768264911615561,1.176826491161556e-05,0.5502946519049962,0.0,0.4497053480950038,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0006241474895242008,0.0,0.0
2026-02-26,oracle_shuffled_kappa_0_0_seed_0,dynamic,37.33404333424533,True,0.009903185206959694,9.903185206959694e-06,0.5320453893361402,0.0,0.46795461066385974,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.00028876740239619004,0.0,0.0
2026-03-25,oracle_shuffled_kappa_0_0_seed_0,dynamic,37.33404333424533,True,0.018206790059713304,1.8206790059713305e-05,0.5601311168630286,0.0,0.4398688831369714,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.001022099260128351,0.0,0.0
2024-11-29,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.008745514055699122,8.745514055699123e-06,0.6,1.0,0.4,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0017468046925959429,0.0,0.0
2024-12-31,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.02527696201801667,2.5276962018016673e-05,0.6,1.0,0.39999999999999997,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.001573243319415904,0.0,0.0
2025-01-22,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.0063662629356413675,6.366262935641368e-06,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.001488855409650062,0.0,0.0
2025-02-27,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.007897254919399951,7.897254919399951e-06,0.6,1.0,0.39999999999999997,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0007240741821844614,0.0,0.0
2025-03-31,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.0386038705268916,3.8603870526891596e-05,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0009258127850247569,0.0,0.0
2025-04-30,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.030186221157354295,3.0186221157354296e-05,0.6,1.0,0.39999999999999997,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0024727357864059206,0.0,0.0
2025-05-29,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.030193395635373044,3.0193395635373045e-05,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0022981731188162434,0.0,0.0
2025-06-30,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.03236670662421916,3.236670662421916e-05,0.5991211555107471,0.0,0.40087884448925293,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0019824586664508466,0.0,0.0
2025-07-31,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.028472486520764437,2.847248652076444e-05,0.598307429353521,0.0,0.4016925706464791,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0016254209445390126,0.0,0.0
2025-08-29,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.023330953018854822,2.3330953018854823e-05,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0015749656010510735,0.0,0.0
2025-09-30,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.027838208433453387,2.783820843345339e-05,0.5957134063842457,0.0,0.40428659361575425,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.00158741971840038,0.0,0.0
2025-10-31,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.0062721947905566705,6.272194790556671e-06,0.5701087225563358,0.0,0.4298912774436643,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-8.112389671121266e-05,0.0,0.0
2025-11-28,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.009340684979261521,9.34068497926152e-06,0.5839632112990412,0.0,0.4160367887009589,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0003742078966231513,0.0,0.0
2025-12-31,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.011025745391933212,1.1025745391933212e-05,0.5775619725668496,0.0,0.42243802743315045,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0005999981068331175,0.0,0.0
2026-01-30,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.011768264911615561,1.176826491161556e-05,0.5502946519049962,0.0,0.4497053480950038,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0006241474895242008,0.0,0.0
2026-02-26,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.009903185206959694,9.903185206959694e-06,0.5320453893361402,0.0,0.46795461066385974,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.00028876740239619004,0.0,0.0
2026-03-25,oracle_shuffled_kappa_0_0_seed_1,dynamic,37.33404333424533,True,0.018206790059713304,1.8206790059713305e-05,0.5601311168630286,0.0,0.4398688831369714,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.001022099260128351,0.0,0.0
2024-11-29,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.008745514055699122,8.745514055699123e-06,0.6,1.0,0.4,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0017468046925959429,0.0,0.0
2024-12-31,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.02527696201801667,2.5276962018016673e-05,0.6,1.0,0.39999999999999997,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.001573243319415904,0.0,0.0
2025-01-22,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.0063662629356413675,6.366262935641368e-06,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.001488855409650062,0.0,0.0
2025-02-27,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.007897254919399951,7.897254919399951e-06,0.6,1.0,0.39999999999999997,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0007240741821844614,0.0,0.0
2025-03-31,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.0386038705268916,3.8603870526891596e-05,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0009258127850247569,0.0,0.0
2025-04-30,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.030186221157354295,3.0186221157354296e-05,0.6,1.0,0.39999999999999997,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0024727357864059206,0.0,0.0
2025-05-29,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.030193395635373044,3.0193395635373045e-05,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0022981731188162434,0.0,0.0
2025-06-30,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.03236670662421916,3.236670662421916e-05,0.5991211555107471,0.0,0.40087884448925293,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0019824586664508466,0.0,0.0
2025-07-31,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.028472486520764437,2.847248652076444e-05,0.598307429353521,0.0,0.4016925706464791,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0016254209445390126,0.0,0.0
2025-08-29,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.023330953018854822,2.3330953018854823e-05,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0015749656010510735,0.0,0.0
2025-09-30,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.027838208433453387,2.783820843345339e-05,0.5957134063842457,0.0,0.40428659361575425,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.00158741971840038,0.0,0.0
2025-10-31,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.0062721947905566705,6.272194790556671e-06,0.5701087225563358,0.0,0.4298912774436643,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-8.112389671121266e-05,0.0,0.0
2025-11-28,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.009340684979261521,9.34068497926152e-06,0.5839632112990412,0.0,0.4160367887009589,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0003742078966231513,0.0,0.0
2025-12-31,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.011025745391933212,1.1025745391933212e-05,0.5775619725668496,0.0,0.42243802743315045,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0005999981068331175,0.0,0.0
2026-01-30,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.011768264911615561,1.176826491161556e-05,0.5502946519049962,0.0,0.4497053480950038,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0006241474895242008,0.0,0.0
2026-02-26,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.009903185206959694,9.903185206959694e-06,0.5320453893361402,0.0,0.46795461066385974,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.00028876740239619004,0.0,0.0
2026-03-25,oracle_shuffled_kappa_0_0_seed_2,dynamic,37.33404333424533,True,0.018206790059713304,1.8206790059713305e-05,0.5601311168630286,0.0,0.4398688831369714,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.001022099260128351,0.0,0.0
2024-11-29,oracle_shuffled_kappa_0_0_seed_3,dynamic,37.33404333424533,True,0.008745514055699122,8.745514055699123e-06,0.6,1.0,0.4,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0017468046925959429,0.0,0.0
2024-12-31,oracle_shuffled_kappa_0_0_seed_3,dynamic,37.33404333424533,True,0.02527696201801667,2.5276962018016673e-05,0.6,1.0,0.39999999999999997,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.001573243319415904,0.0,0.0
2025-01-22,oracle_shuffled_kappa_0_0_seed_3,dynamic,37.33404333424533,True,0.0063662629356413675,6.366262935641368e-06,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.001488855409650062,0.0,0.0
2025-02-27,oracle_shuffled_kappa_0_0_seed_3,dynamic,37.33404333424533,True,0.007897254919399951,7.897254919399951e-06,0.6,1.0,0.39999999999999997,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0007240741821844614,0.0,0.0
2025-03-31,oracle_shuffled_kappa_0_0_seed_3,dynamic,37.33404333424533,True,0.0386038705268916,3.8603870526891596e-05,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0009258127850247569,0.0,0.0
2025-04-30,oracle_shuffled_kappa_0_0_seed_3,dynamic,37.33404333424533,True,0.030186221157354295,3.0186221157354296e-05,0.6,1.0,0.39999999999999997,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0024727357864059206,0.0,0.0
2025-05-29,oracle_shuffled_kappa_0_0_seed_3,dynamic,37.33404333424533,True,0.030193395635373044,3.0193395635373045e-05,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0022981731188162434,0.0,0.0
2025-06-30,oracle_shuffled_kappa_0_0_seed_3,dynamic,37.33404333424533,True,0.03236670662421916,3.236670662421916e-05,0.5991211555107471,0.0,0.40087884448925293,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0019824586664508466,0.0,0.0
2025-07-31,oracle_shuffled_kappa_0_0_seed_3,dynamic,37.33404333424533,True,0.028472486520764437,2.847248652076444e-05,0.598307429353521,0.0,0.4016925706464791,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0016254209445390126,0.0,0.0
2025-08-29,oracle_shuffled_kappa_0_0_seed_3,dynamic,37.33404333424533,True,0.023330953018854822,2.3330953018854823e-05,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0015749656010510735,0.0,0.0
